filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
741.wav,0.3957858383655548,0.1102944016456604,1986.3018666196806,1769.2449350670788,4022.0634107955657,0.11453043938429913,-121.22144317626953,135.06640625,-65.906494140625,64.30371856689453,-31.698884963989258,30.114543914794922,-27.611528396606445,8.70360279083252,-9.219329833984375,-0.12563548982143402,4.460514068603516,-4.132061004638672,11.077415466308594,-12.764056205749512,10.027220726013184,-9.829463005065918,3.9537439346313477,-4.310078144073486,4.11872673034668,4.37589693069458,Agressive
742.wav,0.45269301533699036,0.1383836716413498,2496.175347350259,2217.365428676765,5371.314688742485,0.13742484484096198,-124.44889068603516,92.04856872558594,-26.506298065185547,58.974586486816406,-23.40579605102539,40.48805236816406,-21.51983070373535,21.717309951782227,-4.965806484222412,5.5785441398620605,7.272637367248535,-7.618524074554443,11.571688652038574,-12.33840560913086,11.987726211547852,-2.9203097820281982,3.0403363704681396,-4.1902241706848145,9.443053245544434,-3.144597053527832,Agressive
743.wav,0.4449372887611389,0.2234126329421997,2426.410783256091,1944.5274266935935,4691.595034267494,0.16131262521989836,-17.951807022094727,125.11534881591797,-73.19599914550781,77.64791870117188,-44.71232223510742,34.11421203613281,-35.059104919433594,22.366180419921875,-8.613896369934082,7.757948398590088,0.5728782415390015,-7.416015625,8.227779388427734,-18.35696792602539,13.424214363098145,-15.120417594909668,9.604405403137207,-6.104672908782959,6.987773418426514,-3.540186882019043,Agressive
744.wav,0.4961337149143219,0.12574610114097595,2071.2058676096726,1650.4166023887758,3727.4412344544075,0.13530010017591867,-114.95773315429688,135.17201232910156,-82.27928924560547,84.56897735595703,-7.459839344024658,20.38317108154297,-11.452725410461426,15.590882301330566,-6.906440734863281,20.03304672241211,-16.904802322387695,3.25283145904541,15.354567527770996,-16.448476791381836,20.0118465423584,-15.558494567871094,8.168733596801758,-12.771533966064453,6.686062812805176,-0.8826072216033936,Agressive
745.wav,0.5542638897895813,0.12204154580831528,2304.0769300316415,1982.803278362381,4591.766161765784,0.12604222659304143,-125.51983642578125,105.57913970947266,-49.082786560058594,80.61168670654297,-32.67393493652344,41.485660552978516,-4.571247100830078,24.549367904663086,-1.18983793258667,3.7726380825042725,8.100761413574219,-0.1645043045282364,11.022119522094727,-6.798202037811279,13.766918182373047,-11.649948120117188,6.079356670379639,-4.626896858215332,1.9076796770095825,-0.16909386217594147,Agressive
746.wav,0.4619815945625305,0.13794267177581787,2694.3980347074703,2218.627862143817,5501.657517925313,0.154469704385278,-89.25666809082031,101.86225128173828,-50.024024963378906,75.51331329345703,-39.14290237426758,50.31924819946289,-19.82631492614746,29.43294906616211,-7.725799083709717,10.055036544799805,7.192449569702148,-7.568727970123291,13.848177909851074,-14.428805351257324,9.679241180419922,-14.691195487976074,6.848564147949219,-12.437553405761719,-0.7232151627540588,-2.929515838623047,Agressive
747.wav,0.4347969889640808,0.15123964846134186,2164.790703488346,1773.8618587153933,4147.493897440289,0.14242709047083008,-74.84762573242188,123.81433868408203,-73.51818084716797,69.81856536865234,-30.21957015991211,29.743301391601562,-27.57291030883789,15.181305885314941,-7.598116397857666,-0.30280840396881104,0.8581085801124573,-6.2369537353515625,4.934099197387695,-18.669496536254883,6.021548271179199,-15.334769248962402,3.64711594581604,-7.223196029663086,2.9780349731445312,-4.863263130187988,Agressive
748.wav,0.44595250487327576,0.1481861025094986,2141.0782190591567,1900.1185470038383,4362.25275316379,0.11888455197827774,-104.58424377441406,117.47953796386719,-60.28300857543945,69.93810272216797,-22.248523712158203,41.973785400390625,-22.047990798950195,18.797643661499023,-8.470904350280762,4.64810037612915,7.418472766876221,-7.332262992858887,7.505136489868164,-13.905319213867188,8.591142654418945,-11.895581245422363,0.3404347896575928,-11.395601272583008,4.72960901260376,-3.1066532135009766,Agressive
749.wav,0.3885602056980133,0.18630482256412506,1698.431612930483,1908.5922850025497,3905.885659725616,0.07260654380863957,-95.16361236572266,140.7147674560547,-38.44297409057617,69.0352783203125,-28.912235260009766,44.298011779785156,-21.08138084411621,17.902700424194336,-15.745986938476562,-1.583617925643921,-7.281492710113525,-13.73075008392334,5.029518127441406,-13.638187408447266,11.016706466674805,-13.583255767822266,8.779467582702637,-9.715448379516602,2.398693561553955,2.456554889678955,Agressive
750.wav,0.3547973334789276,0.0773216038942337,1863.0339547146036,1934.3245334783562,4168.266013271837,0.08689798255522088,-181.7519073486328,130.04556274414062,-33.75701141357422,80.01712799072266,-28.223129272460938,31.56352996826172,-26.029325485229492,13.602399826049805,-8.961518287658691,2.550629138946533,1.8810029029846191,-7.558075428009033,5.778131008148193,-16.351747512817383,7.577124118804932,-16.096529006958008,2.2750818729400635,-10.410504341125488,-0.742706835269928,-5.148470401763916,Agressive
751.wav,0.4556918144226074,0.2529221475124359,2194.202408784217,1893.1701682349967,4377.398562895185,0.13155512828307392,-34.46640396118164,127.8309097290039,-60.72142028808594,87.04732513427734,-36.52206802368164,37.754940032958984,-15.5023775100708,17.985090255737305,-5.095941543579102,4.592442989349365,1.7307772636413574,-2.5351967811584473,10.274036407470703,-14.83108139038086,8.611039161682129,-10.732769012451172,7.769820690155029,-9.116923332214355,3.1191980838775635,-3.202364206314087,Agressive
752.wav,0.43728572130203247,0.16408266127109528,1505.2564349640877,1851.3477508598785,3379.9951171875,0.05450520833333333,-174.96414184570312,122.95264434814453,-0.3873881697654724,69.15601348876953,-20.233352661132812,35.38956069946289,-8.117841720581055,19.364004135131836,-0.8602585792541504,2.055370330810547,4.21181583404541,-0.8192484378814697,14.240110397338867,-8.858306884765625,9.866419792175293,-5.961857795715332,3.628134250640869,-1.9333502054214478,3.1195969581604004,-0.18781402707099915,Agressive
753.wav,0.49405044317245483,0.12875837087631226,2325.9746244542966,1945.746762732302,4602.474996960117,0.15125281189202336,-75.28853607177734,131.1399383544922,-72.76805877685547,81.08981323242188,-35.28986740112305,37.97419738769531,-36.39522933959961,22.496261596679688,-15.202064514160156,6.750106334686279,1.6287254095077515,-11.839506149291992,6.497463226318359,-15.804900169372559,12.783459663391113,-16.755643844604492,9.123525619506836,-9.433359146118164,3.111548900604248,-6.333837509155273,Agressive
754.wav,0.4548017680644989,0.12155020982027054,2201.5820794386536,1834.335509221058,4332.176902292312,0.14157130494771494,-97.09832763671875,128.57998657226562,-67.2942886352539,74.96525573730469,-35.94407653808594,36.158355712890625,-17.175090789794922,18.905982971191406,-6.142904758453369,1.4650986194610596,3.036447048187256,-2.896639347076416,9.06265926361084,-13.689897537231445,10.486775398254395,-12.838295936584473,4.965033054351807,-7.704595565795898,2.7782018184661865,-2.6843724250793457,Agressive
755.wav,0.43465253710746765,0.18475280702114105,2193.371762360179,1811.0704249755904,4254.257128526265,0.1368977231274319,-57.21991729736328,130.4992218017578,-77.33238983154297,81.47137451171875,-32.4466552734375,39.69655990600586,-24.89919090270996,20.734630584716797,-3.1004061698913574,6.353168487548828,2.917365789413452,-11.532414436340332,8.227312088012695,-9.179152488708496,15.092509269714355,-11.984918594360352,7.027099609375,-7.415393829345703,6.898074150085449,1.8144774436950684,Agressive
