song_Id,Arousal,Valence,min_distance,closest_pairs,name
2,-0.35482665799999996,-0.371664525,0.15977471380329425,"(-0.45, -0.5)",Ashamed
3,-0.279826658,-0.271664525,0.21213845519595118,"(-0.078, -0.337)",Worried
4,0.270173343,0.278335475,0.1502800329094696,"(0.42, 0.29)",Light Hearted
5,0.220173343,-0.046664525,0.151277842697704,"(0.32, 0.067)",Expectant
7,0.495173343,0.303335475,0.02184814942440832,"(0.498, 0.325)",Enthusianstic
8,0.095173342,-0.346664525,0.1617376109658004,"(0.23, -0.436)",Longing
10,0.070173343,-0.146664525,0.2412113857579515,"(-0.078, -0.337)",Worried
12,0.34517334299999997,0.228335475,0.09696155032419435,"(0.42, 0.29)",Light Hearted
13,-0.104826658,-0.346664525,0.028514428328910765,"(-0.078, -0.337)",Worried
17,0.39517334299999995,-0.046664525,0.032945544482847346,"(0.385, -0.078)",Impressed
18,-0.129826658,0.053335475,0.27549851462562297,"(-0.035, 0.312)",Impatient
19,-0.029826658,0.328335475,0.01713508712917996,"(-0.035, 0.312)",Impatient
20,0.520173343,0.203335475,0.12366856424844301,"(0.498, 0.325)",Enthusianstic
21,0.47017334299999997,0.503335475,0.0888563798568863,"(0.42, 0.43)",Convinced
22,0.095173342,-0.146664525,0.25732586232814725,"(-0.078, -0.337)",Worried
24,-0.129826658,0.178335475,0.1638850216185866,"(-0.035, 0.312)",Impatient
25,0.070173343,0.828335475,0.10199672161040897,"(-0.027999999999999997, 0.856)",Tensed
31,-0.154826658,0.028335475,0.2952458741302317,"(-0.33, 0.266)",Suspicious
32,-0.279826658,-0.096664525,0.27575713751583036,"(-0.48, 0.09300000000000001)",Distrustful
35,0.520173343,0.053335475,0.18846973139279224,"(0.385, -0.078)",Impressed
37,0.220173343,0.503335475,0.212858602695008,"(0.42, 0.43)",Convinced
39,0.24517334300000002,0.678335475,0.18617133662642935,"(0.43, 0.6559999999999999)",Ambitious
40,0.095173342,0.003335475,0.23366685235806253,"(0.32, 0.067)",Expectant
41,0.170173343,-0.071664525,0.2041467061729659,"(0.32, 0.067)",Expectant
42,0.170173343,0.378335475,0.21563046148740506,"(-0.035, 0.312)",Impatient
43,-0.22982665800000002,0.528335475,0.15117990262903533,"(-0.08199999999999999, 0.56)",Jealous
44,0.120173343,-0.171664525,0.25808621266792087,"(-0.078, -0.337)",Worried
45,-0.579826658,0.128335475,0.10589597462096749,"(-0.48, 0.09300000000000001)",Distrustful
46,-0.104826658,0.178335475,0.15080440116563107,"(-0.035, 0.312)",Impatient
47,-0.004826658,-0.046664525,0.2994144719664108,"(-0.078, -0.337)",Worried
48,0.095173342,-0.021664525,0.2416783485149727,"(0.32, 0.067)",Expectant
49,0.220173343,-0.171664525,0.18958077460879647,"(0.385, -0.078)",Impressed
50,0.095173342,-0.246664525,0.19531898121515123,"(-0.078, -0.337)",Worried
51,-0.30482665800000003,-0.246664525,0.24415329369665403,"(-0.078, -0.337)",Worried
52,0.170173343,0.003335475,0.16279188828461716,"(0.32, 0.067)",Expectant
53,0.209,-0.071664525,0.17611399218539006,"(0.385, -0.078)",Impressed
54,-0.279826658,-0.371664525,0.20478190636119342,"(-0.078, -0.337)",Worried
55,0.24517334300000002,0.303335475,0.17533452281644726,"(0.42, 0.29)",Light Hearted
56,0.0,0.453335475,0.13454114944311885,"(-0.08199999999999999, 0.56)",Jealous
0,-0.254826658,-0.321664525,0.17749040473480412,"(-0.078, -0.337)",Worried
59,-0.079826658,0.178335475,0.1409809721590988,"(-0.035, 0.312)",Impatient
60,0.495173343,-0.071664525,0.1103553521641396,"(0.385, -0.078)",Impressed
62,-0.129826658,0.403335475,0.13165965236519725,"(-0.035, 0.312)",Impatient
64,0.120173343,-0.246664525,0.21779157908255148,"(-0.078, -0.337)",Worried
65,0.34517334299999997,0.453335475,0.07838094788449089,"(0.42, 0.43)",Convinced
67,0.595173343,0.653335475,0.12422876845268674,"(0.7, 0.72)",Excited
68,0.120173343,-0.196664525,0.24283063937499996,"(-0.078, -0.337)",Worried
69,-0.129826658,-0.346664525,0.052720067554249114,"(-0.078, -0.337)",Worried
70,-0.204826658,-0.046664525,0.3085879901923025,"(-0.48, 0.09300000000000001)",Distrustful
71,-0.179826658,0.328335475,0.1457450123020496,"(-0.035, 0.312)",Impatient
72,0.29517334300000003,0.528335475,0.1589073942309522,"(0.42, 0.43)",Convinced
73,0.29517334300000003,0.303335475,0.1255369634461152,"(0.42, 0.29)",Light Hearted
74,-0.029826658,-0.396664525,0.07668459051807335,"(-0.078, -0.337)",Worried
76,-0.30482665800000003,-0.071664525,0.2404165250995126,"(-0.48, 0.09300000000000001)",Distrustful
77,-0.379826658,-0.096664525,0.21449319450958018,"(-0.48, 0.09300000000000001)",Distrustful
78,-0.129826658,-0.296664525,0.06567307684983696,"(-0.078, -0.337)",Worried
79,0.270173343,0.228335475,0.11923115080913742,"(0.33299999999999996, 0.127)",Passionate
80,0.170173343,0.353335475,0.2092957767640601,"(-0.035, 0.312)",Impatient
81,-0.129826658,0.378335475,0.11572592756562632,"(-0.035, 0.312)",Impatient
82,-0.22982665800000002,-0.421664525,0.17383732589097367,"(-0.078, -0.337)",Worried
83,0.34517334299999997,0.378335475,0.09092992764360522,"(0.42, 0.43)",Convinced
84,0.29517334300000003,0.328335475,0.1305806376966787,"(0.42, 0.29)",Light Hearted
85,0.44517334299999994,0.628335475,0.03155243701001983,"(0.43, 0.6559999999999999)",Ambitious
86,0.29517334300000003,0.203335475,0.08519366598093585,"(0.33299999999999996, 0.127)",Passionate
87,-0.454826658,0.178335475,0.08897100899126965,"(-0.48, 0.09300000000000001)",Distrustful
88,0.270173343,0.528335475,0.1792146556263501,"(0.42, 0.43)",Convinced
89,0.095173342,-0.021664525,0.2416783485149727,"(0.32, 0.067)",Expectant
90,-0.054826658,-0.071664525,0.26634548630101573,"(-0.078, -0.337)",Worried
91,0.270173343,-0.021664525,0.10170591792649665,"(0.32, 0.067)",Expectant
92,0.070173343,0.303335475,0.10552964546169609,"(-0.035, 0.312)",Impatient
